intent_definition,l3_intent(master_intent),Example phrase,l2_intent,l1_intent
"Check order status on purchased product, recurring delivery, or other service-related shipment.",check order status,paper shipment tracking,Order Shipment Management,Order Shipment & Fulfillment
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,got a new ink cartridge but it still says empty,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,"i've just replaced my ink, they work i've tested them, re-downloaded your app and because it estimates i have no ink it's making my printer say there's no ink",Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,can you check if my ink levels are okay,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how can i know which ink cartridges need to be replaced when the alert says ink is low?,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how can i check the ink level from my laptop,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,can't you tell me how to check my cartridge ink levels????,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,new cartridge was installed the printer says it's empty,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,insta inc. and hp will not read my ink levels and will not send me ink and,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,i want to check my cartridge supply information ( how much ink remains).,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how to show ink balances in cartridges,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do i check my ink levels on hp envy 5030,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do i check my ink levels on my hp 4100 series,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do i check my ink levels on my printer,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do i check my ink levels using my computer,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do i check my ink levels?,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do you check ink levels,Cartridge Issue,Print Device
"Issue with checking status levels of ink, issue with ink indicator not changing or showing correct ink levels, or issue with fixing cartridge ink or toner level error.",ink or toner level issue,how do you check the ink level on this printer,Cartridge Issue,Print Device
